node1	label	node2	id
P10	datatype	commonsMedia	P10-datatype-6427a7
P10	Psort_order	asc	P10-Psort_order-d68d3f
P10	Psort_criterion	value	P10-Psort_criterion-cd4240
P1000	datatype	wikibase-item	P1000-datatype-643cc9
P1000	Psort_criterion	qualifier	P1000-Psort_criterion-5da6e4
P1000-Psort_criterion-5da6e4	Psort_qualifier	P580	P1000-Psort_criterion-5da6e4-Psort_qualifier-P580
P1000-Psort_criterion-5da6e4	Psort_order	desc	P1000-Psort_criterion-5da6e4-Psort_order-97864e
P1000-Psort_criterion-5da6e4	datatype	time	P1000-Psort_criterion-5da6e4-datatype-336074
P10000	datatype	external-id	P10000-datatype-1a57bf
P10000	Psort_order	asc	P10000-Psort_order-d68d3f
P10000	Psort_criterion	value	P10000-Psort_criterion-cd4240
P10001	datatype	external-id	P10001-datatype-1a57bf
P10001	Psort_order	asc	P10001-Psort_order-d68d3f
P10001	Psort_criterion	value	P10001-Psort_criterion-cd4240
P10002	datatype	external-id	P10002-datatype-1a57bf
P10002	Psort_order	asc	P10002-Psort_order-d68d3f
P10002	Psort_criterion	value	P10002-Psort_criterion-cd4240
P10003	datatype	external-id	P10003-datatype-1a57bf
P10003	Psort_order	asc	P10003-Psort_order-d68d3f
P10003	Psort_criterion	value	P10003-Psort_criterion-cd4240
P10005	datatype	external-id	P10005-datatype-1a57bf
P10005	Psort_order	asc	P10005-Psort_order-d68d3f
P10005	Psort_criterion	value	P10005-Psort_criterion-cd4240
P10006	datatype	external-id	P10006-datatype-1a57bf
P10006	Psort_order	asc	P10006-Psort_order-d68d3f
P10006	Psort_criterion	value	P10006-Psort_criterion-cd4240
P1001	datatype	wikibase-item	P1001-datatype-643cc9
P1001	Psort_order	asc	P1001-Psort_order-d68d3f
P1001	Psort_criterion	value	P1001-Psort_criterion-cd4240
P1002	datatype	wikibase-item	P1002-datatype-643cc9
P1002	Psort_order	asc	P1002-Psort_order-d68d3f
P1002	Psort_criterion	value	P1002-Psort_criterion-cd4240
P1003	datatype	external-id	P1003-datatype-1a57bf
P1003	Psort_order	asc	P1003-Psort_order-d68d3f
P1003	Psort_criterion	value	P1003-Psort_criterion-cd4240
P1004	datatype	external-id	P1004-datatype-1a57bf
P1004	Psort_order	asc	P1004-Psort_order-d68d3f
P1004	Psort_criterion	value	P1004-Psort_criterion-cd4240
P1005	datatype	external-id	P1005-datatype-1a57bf
P1005	Psort_order	asc	P1005-Psort_order-d68d3f
P1005	Psort_criterion	value	P1005-Psort_criterion-cd4240
P1006	datatype	external-id	P1006-datatype-1a57bf
P1006	Psort_order	asc	P1006-Psort_order-d68d3f
P1006	Psort_criterion	value	P1006-Psort_criterion-cd4240
P1007	datatype	external-id	P1007-datatype-1a57bf
P1007	Psort_order	asc	P1007-Psort_order-d68d3f
P1007	Psort_criterion	value	P1007-Psort_criterion-cd4240
P101	datatype	wikibase-item	P101-datatype-643cc9
P101	Psort_order	asc	P101-Psort_order-d68d3f
P101	Psort_criterion	value	P101-Psort_criterion-cd4240
P1010	datatype	external-id	P1010-datatype-1a57bf
P1010	Psort_order	asc	P1010-Psort_order-d68d3f
P1010	Psort_criterion	value	P1010-Psort_criterion-cd4240
P1011	datatype	wikibase-item	P1011-datatype-643cc9
P1011	Psort_order	asc	P1011-Psort_order-d68d3f
P1011	Psort_criterion	value	P1011-Psort_criterion-cd4240
P1012	datatype	wikibase-item	P1012-datatype-643cc9
P1012	Psort_order	asc	P1012-Psort_order-d68d3f
P1012	Psort_criterion	value	P1012-Psort_criterion-cd4240
P1013	datatype	wikibase-item	P1013-datatype-643cc9
P1013	Psort_order	asc	P1013-Psort_order-d68d3f
P1013	Psort_criterion	value	P1013-Psort_criterion-cd4240
P1014	datatype	external-id	P1014-datatype-1a57bf
P1014	Psort_order	asc	P1014-Psort_order-d68d3f
